Time,               Close,Daily_Transcations
2012-03-08,5,6635
2012-03-09,4.9499,6478
2012-03-10,4.94,6054
2012-03-11,4.99,5174
2012-03-12,4.95915,5728
2012-03-13,5.41,6805
2012-03-14,5.4444,7096
2012-03-15,5.45,6577
2012-03-16,5.4,6706
2012-03-17,5.3998,7473
2012-03-18,5.37998,5745
2012-03-19,5.3099,6679
2012-03-20,4.98,6604
2012-03-21,4.87,6980
2012-03-22,4.88,6756
2012-03-23,4.83,6293
2012-03-24,4.74896,6461
2012-03-25,4.68294,6249
2012-03-26,4.73793,6469
2012-03-27,4.74,6346
2012-03-28,4.84592,7134
2012-03-29,4.86092,7526
2012-03-30,4.83,7174
2012-03-31,4.95,6286
2012-04-01,4.929,5619
2012-04-02,5.08,6086
2012-04-03,5.01,7539
2012-04-04,4.97,7479
2012-04-05,4.94486,6977
2012-04-06,4.96,7000
2012-04-07,4.98,6152
2012-04-08,4.8,6061
2012-04-09,4.8,6045
2012-04-10,4.9,8435
2012-04-11,4.8941,7485
2012-04-12,4.98,8513
2012-04-13,4.94464,7549
2012-04-14,5.03,7935
2012-04-15,4.98389,7313
2012-04-16,4.98,7846
2012-04-17,5.02207,8354
2012-04-18,5.1782,8145
2012-04-19,5.19,8023
2012-04-20,5.17,8016
2012-04-21,5.48,7770
2012-04-22,5.3287,6768
2012-04-23,5.21799,6845
2012-04-24,5.2,7395
2012-04-25,5.16,7746
2012-04-26,5.18,10043
2012-04-27,5.1372,7066
2012-04-28,5.1176,7173
2012-04-29,5.0184,8050
2012-04-30,5,9064
2012-05-01,5,10070
2012-05-02,5.1789,9373
2012-05-03,5.184,12283
2012-05-04,5.15,14376
2012-05-05,5.1495,13590
2012-05-06,5.099,12416
2012-05-07,5.0947,16283
2012-05-08,5.1,17176
2012-05-09,5.09609,18865
2012-05-10,5.125,12723
2012-05-11,5.03188,14196
2012-05-12,5,22055
2012-05-13,4.99888,14084
2012-05-14,5.036,28010
2012-05-15,5.09,20817
2012-05-16,5.08998,19677
2012-05-17,5.1345,14892
2012-05-18,5.13,21758
2012-05-19,5.14291,38132
2012-05-20,5.15,33328
2012-05-21,5.1475,29133
2012-05-22,5.12,25323
2012-05-23,5.16,26784
2012-05-24,5.2324,26020
2012-05-25,5.15,29007
2012-05-26,5.149,23982
2012-05-27,5.148,22251
2012-05-28,5.16,32526
2012-05-29,5.15889,31160
2012-05-30,5.1725,25743
2012-05-31,5.19,20951
2012-06-01,5.27,24713
2012-06-02,5.279,18570
2012-06-03,5.26466,26654
2012-06-04,5.2785,44984
2012-06-05,5.5,45318
2012-06-06,5.47,18275
2012-06-07,5.529,30567
2012-06-08,5.66,26974
2012-06-09,5.69999,31523
2012-06-10,5.62,39328
2012-06-11,5.54545,35275
2012-06-12,5.7,20796
2012-06-13,5.96,52040
2012-06-14,5.95,56997
2012-06-15,6.165,57407
2012-06-16,6.599,49313
2012-06-17,6.52999,40290
2012-06-18,6.4668,39028
2012-06-19,6.53294,38108
2012-06-20,6.64999,33475
2012-06-21,6.8,26501
2012-06-22,6.79962,25550
2012-06-23,6.65062,21659
2012-06-24,6.5915,21880
2012-06-25,6.44999,25985
2012-06-26,6.4514,32547
2012-06-27,6.55555,30636
2012-06-28,6.66897,27315
2012-06-29,6.662,22339
2012-06-30,6.693,23608
2012-07-01,6.694,18834
2012-07-02,6.75,25272
2012-07-03,6.765,22946
2012-07-04,6.55,21992
2012-07-05,6.77,22045
2012-07-06,6.73449,21962
2012-07-07,6.75,26129
2012-07-08,6.87,21697
2012-07-09,6.896,25293
2012-07-10,7.239,33442
2012-07-11,7.257,30165
2012-07-12,7.32,26493
2012-07-13,7.9,23441
2012-07-14,7.68891,25417
2012-07-15,7.64877,25886
2012-07-16,8.2899,30561
2012-07-17,9.49,34693
2012-07-18,9.39899,30733
2012-07-19,9.27491,31077
2012-07-20,9.23355,35383
2012-07-21,9.7,37598
2012-07-22,9,29975
2012-07-23,9.2,35901
2012-07-24,8.96,29945
2012-07-25,8.76998,29127
2012-07-26,8.9,30652
2012-07-27,8.95,26430
2012-07-28,8.93,33187
2012-07-29,8.889,32788
2012-07-30,9.15,38204
2012-07-31,9.44,36163
2012-08-01,9.54,34163
2012-08-02,9.8,32475
2012-08-03,11.1188,29356
2012-08-04,11.3,28166
2012-08-05,11.1869,32003
2012-08-06,11.29112,35960
2012-08-07,11.04,28636
2012-08-08,11.14999,38855
2012-08-09,12,33117
2012-08-10,11.6,27362
2012-08-11,11.59788,29979
2012-08-12,11.765,33751
2012-08-13,11.86999,49678
2012-08-14,12.17887,37605
2012-08-15,12.67,49070
2012-08-16,13.84119,49165
2012-08-17,15.4,40897
2012-08-18,15.26014,38770
2012-08-19,12,35022
2012-08-20,10.5,36248
2012-08-21,10.29999,40494
2012-08-22,10.26,40634
2012-08-23,10.25,31765
2012-08-24,10.25,30969
2012-08-25,10.25,35491
2012-08-26,10.61913,30525
2012-08-27,12.14999,31308
2012-08-28,11.3807,30838
2012-08-29,11.20999,33804
2012-08-30,10.937,31360
2012-08-31,10.8359,41495
2012-09-01,10.42,41940
2012-09-02,10.18999,31268
2012-09-03,10.5,41066
2012-09-04,10.5934,36940
2012-09-05,10.57888,41414
2012-09-06,11.17,44218
2012-09-07,11.29,32477
2012-09-08,11.21,34359
2012-09-09,11.14288,30076
2012-09-10,11.127,32055
2012-09-11,11.19401,37813
2012-09-12,11.3789,30406
2012-09-13,11.399,27899
2012-09-14,11.75,35146
2012-09-15,11.799,30340
2012-09-16,11.99,27351
2012-09-17,11.9625,25423
2012-09-18,12.09,31313
2012-09-19,12.61,32119
2012-09-20,12.68666,33825
2012-09-21,12.57001,29957
2012-09-22,12.4433,23847
2012-09-23,12.2749,24195
2012-09-24,12.29888,31279
2012-09-25,12.22909,23775
2012-09-26,12.28,31886
2012-09-27,12.46,30194
2012-09-28,12.444,29898
2012-09-29,12.49,26409
2012-09-30,12.47499,21143
2012-10-01,12.481,23803
2012-10-02,12.88,28543
2012-10-03,12.8999,32185
2012-10-04,13.0899,29518
2012-10-05,12.99,34409
2012-10-06,12.89999,35662
2012-10-07,12.7369,31676
2012-10-08,12.08,38366
2012-10-09,12.35,35903
2012-10-10,12.15,32255
2012-10-11,12.19,30081
2012-10-12,12.15,24200
2012-10-13,12.137,37278
2012-10-14,12,26981
2012-10-15,12.03,29690
2012-10-16,11.99,33464
2012-10-17,11.99,32774
2012-10-18,11.95998,28432
2012-10-19,11.967,28470
2012-10-20,11.85,27673
2012-10-21,11.7965,39774
2012-10-22,11.81,35647
2012-10-23,12,40115
2012-10-24,11.82,33568
2012-10-25,11.71,28126
2012-10-26,11.09988,22540
2012-10-27,10.83883,17488
2012-10-28,10.61,17381
2012-10-29,10.95,19144
2012-10-30,10.85,29930
2012-10-31,11.14,28602
2012-11-01,11.279,25458
2012-11-02,11.20999,27498
2012-11-03,10.60097,25264
2012-11-04,10.68,22692
2012-11-05,10.9,32202
2012-11-06,10.88997,28059
2012-11-07,11.21603,37442
2012-11-08,11.0979,34985
2012-11-09,11.07,26851
2012-11-10,10.95899,26595
2012-11-11,10.939,23728
2012-11-12,11.18,24652
2012-11-13,11.129,24841
2012-11-14,11.05,29221
2012-11-15,11.114,37743
2012-11-16,11.8,37286
2012-11-17,11.8,34273
2012-11-18,11.832,33144
2012-11-19,11.79998,35160
2012-11-20,11.84,37561
2012-11-21,11.784,41245
2012-11-22,12.28,32931
2012-11-23,12.43,31482
2012-11-24,12.4108,29169
2012-11-25,12.6,34821
2012-11-26,12.6515,34810
2012-11-27,12.52999,29528
2012-11-28,12.40712,36521
2012-11-29,12.599,39050
2012-11-30,12.65,28363
2012-12-01,12.68778,37722
2012-12-02,12.68,20555
2012-12-03,12.67901,22407
2012-12-04,12.96675,28050
2012-12-05,13.5,33176
2012-12-06,13.6888,37201
2012-12-07,13.68,32887
2012-12-08,13.55,31857
2012-12-09,13.53,32838
2012-12-10,13.55,38474
2012-12-11,13.63999,36341
2012-12-12,13.63999,35322
2012-12-13,13.79989,40260
2012-12-14,13.90119,41397
2012-12-15,13.7722,33526
2012-12-16,13.66548,33989
2012-12-17,13.498,40828
2012-12-18,13.399,46590
2012-12-19,13.399,49016
2012-12-20,13.72,36133
2012-12-21,13.6475,40658
2012-12-22,13.58998,52012
2012-12-23,13.48547,39228
2012-12-24,13.45,37099
2012-12-25,13.45,27560
2012-12-26,13.3989,35740
2012-12-27,13.47,43119
2012-12-28,13.6499,47514
2012-12-29,13.67,39248
2012-12-30,13.56998,43751
2012-12-31,13.59,34228
2013-01-01,13.561,28620
2013-01-02,13.4,38986
2013-01-03,13.464,41413
2013-01-04,13.48986,49926
2013-01-05,13.548,38931
2013-01-06,13.52999,34519
2013-01-07,13.535,40860
2013-01-08,13.83,35390
2013-01-09,13.87998,43335
2013-01-10,14.32,51393
2013-01-11,14.29999,54662
2013-01-12,14.34999,46836
